KMYR,33.67975,-78.92833,1
KSBS,40.51626,-106.8663,1
KTRI,36.47521,-82.40742,1
KDAL,32.84711,-96.85177,2
PHJR,21.30735,-158.0703,1
KSAV,32.12758,-81.20214,2
KPWK,42.11418,-87.90148,2
KLBB,33.66364,-101.82278,1
KPGV,35.63524,-77.38532,1
KSUS,38.66187,-90.65123,1
KSEA,47.44898,-122.30931,3
KSCK,37.89427,-121.23862,1
KSUX,42.4026,-96.38437,1
RJAA,35.764722,140.386389,1
KIWA,33.30783,-111.65547,3
KOAK,37.72129,-122.22072,1
KSBN,41.70895,-86.31847,1
KLEX,38.03697,-84.60539,2
KJQF,35.38521,-80.70971,4
KPSC,46.26468,-119.11903,1
KSLC,40.78839,-111.97777,5
PHLI,21.97598,-159.33896,3
KALN,38.89029,-90.04604,1
KVNY,34.20981,-118.48997,1
KGTR,33.4502,-88.588,1
KUNV,40.84928,-77.84869,3
KCLS,46.6770292,-122.9827472,1
KBCT,26.37849,-80.1077,1
KBOS,42.36435,-71.00518,5
KMMU,40.79935,-74.41487,1
KTYS,35.81249,-83.99286,2
KTYR,32.35414,-95.40239,1
KMOT,48.25938,-101.28033,1
KCRP,27.77036,-97.50122,2
KIAH,29.98047,-95.33972,8
KSMF,38.69542,-121.59077,4
KSGJ,29.95925,-81.33975,1
KUMP,39.9352,-86.04495,1
S50,47.32816,-122.22651,1
KJFK,40.63975,-73.77893,10
KBOI,43.56444,-116.22278,1
KSBA,34.42621,-119.84037,1
KBDL,41.93887,-72.68323,1
KMFE,26.17583,-98.23861,3
MMPR,20.680083,-105.254167,1
KJAX,30.49406,-81.68786,4
KXNA,36.28187,-94.30681,2
KBMI,40.47799,-88.91595,1
KHFD,41.73627,-72.65021,1
KLUK,39.10334,-84.41861,1
KGJT,39.12241,-108.52673,1
KRNO,39.49858,-119.76806,1
KELP,31.80667,-106.37781,3
KOMN,29.30114,-81.11381,1
KAGS,33.36996,-81.9645,10
KAMA,35.21937,-101.70593,2
KORD,41.9796,-87.90446,18
KMLI,41.44853,-90.50754,2
KPSM,43.07796,-70.82327,1
KMEM,35.04242,-89.97667,5
KLGA,40.77724,-73.87261,4
KRDU,35.87764,-78.78747,6
KFWS,32.5652278,-97.3080778,1
KMKT,44.22165,-93.91874,1
KRYN,32.14308,-111.17286,1
KLWA,42.3513331,-86.2557436,1
KMKC,39.12324,-94.59274,1
KBJC,39.90879,-105.11722,2
KLUL,31.67255,-89.17222,1
KPDK,33.8756,-84.30197,1
KASE,39.22316,-106.86885,1
KSJC,37.36186,-121.92901,1
KLAS,36.08036,-115.15233,1
PHTO,19.72026,-155.04847,4
KGRB,44.48507,-88.12959,2
KCKB,39.29664,-80.22808,1
KFOE,38.95095,-95.66361,1
KCHO,38.13864,-78.45286,1
KCHS,32.89865,-80.04051,6
KDAY,39.90238,-84.21938,1
KTLH,30.39653,-84.35033,1
KBUR,34.20062,-118.3585,2
KPBI,26.68316,-80.09559,1
KPIA,40.66424,-89.69331,1
KOMA,41.30252,-95.89417,4
KGRR,42.88082,-85.52277,3
KFWA,40.97847,-85.19515,1
KCVG,39.04614,-84.66217,9
KONT,34.056,-117.60119,3
KDEN,39.85841,-104.667,6
KDSM,41.53493,-93.66068,4
KCHA,35.03527,-85.20379,2
KOAJ,34.82916,-77.61214,1
KSGF,37.24433,-93.38686,4
KICT,37.64996,-97.43305,1
KSNA,33.67566,-117.86822,4
KSTS,38.50898,-122.81288,2
KMKN,31.9203056,-98.5991944,1
